term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),0.19226289621369486,0.5310262032410319,-3.105104008704449,0.0019021212589140375,0.06634858649334485,0.5351434104636373
treatmentDrug,1.602965405185482,0.2543093065099511,1.8554385546323904,0.06353362604519183,0.9770834973971699,2.652966003236458
age,1.0091227435741819,0.0110357977883891,0.8229022389283879,0.4105635894021479,0.987588143731921,1.0313899921921204
sexMale,1.8738995211358742,0.2518455105440284,2.493677825341017,0.012642723886979224,1.144758841533617,3.07730857664131
